Family name	Common root gene symbol
Fascin family	FSCN
Abhydrolase domain containing	ABHD
ZYG11 cell cycle regulator family	ZYG11
Zona pellucida glycoproteins	ZP
Vanin family	VNN
Vesicle associated membrane proteins	VAMP
Wiskott-Aldrich Syndrome protein family	
Cadherins	
Major cadherins	CDH
Protocadherins	PCDH
Clustered protocadherins	
Non-clustered protocadherins	
Cadherin related	CDHR
Zinc fingers	
ANP32 acidic nuclear phosphoproteins	ANP32
Zinc fingers C2H2-type	ZNF
Actin related protein 2/3 complex subunits	ARPC
Acyl-CoA synthetase family	ACS
Acyl-CoA thioesterases	ACOT
SCAN domain containing	
1-acylglycerol-3-phosphate O-acyltransferases	AGPAT
ADAM metallopeptidase domain containing	ADAM
ADAM metallopeptidases with thrombospondin type 1 motif	ADAMTS
Adenylate cyclases	ADCY
IZUMO family	IZUMO
Ring finger proteins	RNF
Tripartite motif family	TRIM
Membrane associated ring-CH-type fingers	MARCHF
Polycomb group ring fingers	PCGF
Zinc fingers AN1-type	ZFAND
Zinc fingers BED-type	ZBED
THAP domain containing	THAP
Zinc fingers C2HC-type	ZC2HC
Nuclear hormone receptors	NR
Zinc fingers CCCH-type	ZC3H
Zinc fingers CCHC-type	ZCCHC
Zinc fingers DBF-type	ZDBF
Zinc fingers DHHC-type	ZDHHC
Zinc fingers FYVE-type	ZFYVE
GATA zinc finger domain containing	GATAD
Zinc fingers HIT-type	ZNHIT
Zinc fingers matrin-type	ZMAT
Zinc fingers MIZ-type	ZMIZ
Zinc fingers MYM-type	ZMYM
Zinc fingers MYND-type	ZMYND
PHD finger proteins	PHF
Zinc fingers RANBP2-type 	ZRANB
Zinc fingers SWIM-type	ZSWIM
Zinc fingers ZZ-type	ZZZ
Zinc fingers PARP-type	
Zinc fingers CW-type	ZCW
Ubiquitin like modifier activating enzymes	UBA
Ubiquitin conjugating enzymes E2	UBE2
Aminopeptidases	
Yip1 domain containing	YIPF
Y-box binding proteins	YBX
Aminoacyl tRNA synthetases	
Aminoacyl tRNA synthetases, Class I	
Aminoacyl tRNA synthetases, Class II	
Zinc fingers GRF-type	ZGRF
Zinc fingers CXXC-type	CXXC
Zinc fingers 3CxxC-type	Z3CXXC
G protein-coupled receptors	
G protein-coupled receptors, Class A rhodopsin-like	
Olfactory receptors	OR
Olfactory receptors, family 1	OR1
Olfactory receptors, family 2	OR2
Olfactory receptors, family 3	OR3
Olfactory receptors, family 4	OR4
Olfactory receptors, family 5	OR5
Olfactory receptors, family 6	OR6
Olfactory receptors, family 7	OR7
Olfactory receptors, family 8	OR8
Olfactory receptors, family 9	OR9
Olfactory receptors, family 10	OR10
WWC family	WWC
Olfactory receptors, family 11	OR11
Olfactory receptors, family 12	OR12
Ligand gated ion channels	
Olfactory receptors, family 13	OR13
Olfactory receptors, family 14	OR14
Olfactory receptors, family 51	OR51
Olfactory receptors, family 52	OR52
Olfactory receptors, family 55	OR55
Olfactory receptors, family 56	OR56
Amine receptors	
Adrenoceptors	ADR
5-hydroxytryptamine receptors, G protein-coupled	HTR
5-hydroxytryptamine receptors	HTR
5-hydroxytryptamine receptors, ionotropic 	HTR3
Cholinergic receptors nicotinic subunits	CHRN
Cholinergic receptors	
Zinc activated channels	ZACN
Ion channels	
Voltage-gated ion channels	
Sodium channels	
Cholinergic receptors muscarinic	CHRM
Dopamine receptors	DRD
Calcium channels	
Potassium channels	KCN
Sodium voltage-gated channels	SCN
Sodium channels epithelial	SCNN
Cation channels sperm associated 	CATSPER
Histamine receptors	HRH
Trace amine receptors	TAAR
Chemokine receptors	
Complement component GPCRs	
Formyl peptide receptors	FPR
Glycoprotein hormone receptors	
Hydroxycarboxylic acid receptors	HCAR
Lipid like receptors	
Cannabinoid receptors	CNR
Free fatty acid receptors	FFAR
Leukotriene receptors	
Lysophosphatidic acid receptors	LPAR
Sphingosine 1-phosphate receptors	S1PR1
Prostaglandin receptors	
Platelet activating factor receptor	PTAFR
Melatonin receptors	MTNR
Nucleotide like receptors	
Adenosine receptors	ADORA
Purinergic receptors	P2R
P2Y receptors	P2RY
Purinergic receptors P2X	P2RX
Opsin receptors	OPN
Prokineticin receptors	PROKR
Relaxin family peptide receptors	RXFP
Chemerin receptors	CMKLR
F2R receptors	F2R
Peptide receptors	
Angiotensin receptors	AGTR
Bombesin receptors	
Bradykinin receptors	BDKR
Cholecystokinin receptors	
Endothelin receptors	EDNR
Galanin receptors	GALR
Gonadotropin releasing hormone receptors	GNRHR
Hypocretin receptors	HCRTR
Melanin concentrating hormone receptors	MCHR
Melanocortin receptors	
Neuromedin U receptors	NMUR
Neuropeptide FF receptors	NPFFR
Neuropeptide S receptor	NPSR
Neuropeptides B and W receptors	NPBWR
Neuropeptide Y receptors	
Neurotensin receptors	NTSR
Opioid receptors	OPR
Two pore segment channels	TPCN
Transient receptor potential cation channels	TRP
Cyclic nucleotide gated channels	CNG
Calcium voltage-gated channel subunits	CACN
Hydrogen voltage gated channels	HVCN
Potassium calcium-activated channels	
Somatostatin receptors	SSTR
Tachykinin receptors	TACR
Arginine vasopressin and oxytocin receptors	AVPR
G protein-coupled receptors, Class A orphans	
G protein-coupled receptors, Class B secretin-like	
Vasoactive intestinal peptide family receptors 	
Calcitonin receptors	CALCR
Corticotropin releasing hormone receptors	CRHR
Glucagon receptor family	
Parathyroid hormone receptors	
Potassium voltage-gated channels	
G protein-coupled receptors, Class C metabotropic glutamate/pheromone	
Potassium inwardly rectifying channel subfamily J	KCNJ
Potassium two pore domain channel subfamily K 	KCNK
Chloride channels	
Calcium sensing receptors	
Gamma-aminobutyric acid type B receptor subunits	GABBR
Glutamate metabotropic receptors	GRM
Glutamate receptors	
Sodium leak channels, non selective	NALCN
Glutamate ionotropic receptors	GRI
G protein-coupled receptors, Class C orphans	
G protein-coupled receptors, Class F frizzled	FZD
Ryanodine receptors	RYR
Pannexins	PANX
Taste receptors	
Acid sensing ion channel subunits	ASIC
Vomeronasal receptors	VN1R, VN2R
Ion channels by channel type	
Adiponectin receptors	ADIPOR
Ion channels by gating mechanism	
Inositol 1,4,5-triphosphate receptors	ITPR
Chloride calcium-activated channels	
Chloride voltage-gated channels	CLCN
Porins	
Aquaporins	AQP
Voltage dependent anion channels	VDAC
Chloride intracellular channels	CLIC
Chloride channels, ATP-gated CFTR	CFTR
7TM uncharacterized proteins	
Gap junction proteins	GJ
Receptor kinases	
Receptor tyrosine kinases	
Transmembrane guanylate cyclases	GUCY2
Receptor serine/threonine kinase family	RSTK
Type 1 receptor serine/threonine kinases	
Type 2 receptor serine/threonine kinases	
Immunoglobulins	IG
Immunoglobulin heavy locus at 14q32.33	IGH
Immunoglobulin heavy (IGH) orphons	
Immunoglobulin kappa locus at 2p11.2	IGK
Immunoglobulin kappa (IGK) orphons	
Immunoglobulin lambda locus at 22q11.2	IGL
Immunoglobulin lambda (IGL) orphons	
Adenylate kinases	AK
ARF GTPase family	
Ras small GTPase superfamily	
Wnt family	WNT
WAP four-disulfide core domain containing	WFDC
WD repeat domain containing	WDR
UDP glucuronosyltransferases	UGT
UBX domain containing	UBXN
U-box domain containing	UBOX
Ubiquitin specific peptidases	USP
Vestigial like family	VGLL
Variable charge X/Y family	VCX, VCY
T cell receptors	TR
T cell receptor alpha locus at 14q11.2	TRA
T cell receptor beta locus at 7q34	TRB
T cell receptor beta (TRB) orphons	
T cell receptor delta locus at 14q11.2	TRD
T cell receptor gamma locus at 7p14	TRG
RAB, member RAS oncogene GTPases	RAB
RAS type GTPase family	RAS
Rho family GTPases	RHO
RAN family GTPases	RAN
Miro like atypical Rho GTPases	
RAB like GTPases	RABL
ArfGAPs	
A-kinase anchoring proteins	AKAP
Alcohol dehydrogenases	ADH
Aldehyde dehydrogenases	ALDH
Aldo-keto reductases	AKR
Alkaline ceramidases	ACER
Alkylation repair homologs	ALKBH
Anaphase promoting complex 	ANAPC
Ankyrin repeat domain containing	ANKRD
Annexins	ANXA
Apolipoproteins	APO
Apolipoprotein B mRNA editing enzyme catalytic subunits	APOBEC
Arachidonate lipoxygenases	ALOX
Argonaute/PIWI family	
Armadillo repeat containing	ARMC
Sulfatases	ARS
ATPases	
AAA ATPases	ATAD
P-type ATPases	
V-type ATPase subunits	ATP6V
ATP binding cassette transporters	ABC
AT-rich interaction domain containing	ARID
Baculoviral IAP repeat containing	BIRC
Basic helix-loop-helix proteins	BHLH
BEN domain containing	BEND
Beta-1,3-glucuronyltransferases	B3GAT
Glycosyltransferases	
Beta 4-glycosyltransferases	
Beta 3-glycosyltransferases	
Glycosyl transferases group 1 domain containing	
Glycosyltransferase family 2	
Glycosyltransferase family 6	
Dolichyl D-mannosyl phosphate dependent mannosyltransferases	
Exostosin glycosyltransferase family	EXT
Polypeptide N-acetylgalactosaminyltransferases	GALNT
Fucosyltransferases	FUT
Mannosyl-glycoprotein N-acetylglucosaminyltransferases	MGAT
Glycosyltransferase family 8	
Glycogen phosphorylases	PYG
Sialyltransferases	
Collagen beta(1-O)galactosyltransferases	COLGALT
UDP-glucose glycoprotein glucosyltransferases	UGGT
Glucosaminyl (N-acetyl) transferases/xylosyltransferases	GCNT, XYLT
Alpha 1,4-glycosyltransferases	
Glycosyltransferase family 90	POGLUT
STT3 oligosaccharyltransferase catalytic subunits	STT3
Oligosaccharyltransferase complex subunits	OST
O-linked N-acetylglucosaminyltransferases	
Alpha-1,3-glucosyltransferases	
Alpha-1,2-glucosyltransferases	ALG10
UDP-N-acetylglucosaminyltransferase subunits	
UDP-glucose ceramide glucosyltransferases	
Biogenesis of lysosomal organelles complex 1 subunits	BLOC1S
Blood group antigens	
Bone morphogenetic proteins	BMP
BPI fold containing	BPIF
BRICHOS domain containing	BRICD
Butyrophilins	BTN
S100 calcium binding proteins	S100
Carbonic anhydrases	CA
Carboxylesterases	CES
Paraoxonases	PON
Lipases	LIP
Arylacetamide deacetylase family	AADAC
Patatin like phospholipase domain containing	PNPLA
Phospholipases	
Caspases	CASP
Cas scaffold proteins	CASS
Cathepsins	CTS
CD molecules	CD
Cyclins	CCN
Non-coding RNAs	
MicroRNAs	MIR
Transfer RNAs	TR
CDC like kinases	CLK
CDGSH iron sulfur domain containing	CISD
Charged multivesicular body proteins	CHMP
Chemokine ligands	CCL
Chromatin modifying enzymes	
Lysine demethylases	KDM
Lysine acetyltransferases	KAT
Lysine methyltransferases	KMT
Claudins	CLDN
Coiled-coil-helix-coiled-coil-helix domain containing proteins	CHCHD
Collagens	COL
Collectins	COLEC
Complement system	
Components of oligomeric golgi complex	COG
Coronins	CORO
Cyclin dependent kinases	CDK
Cytochrome b561	CYB561
DDB1 and CUL4 associated factors	DCAF
DEAD-box helicases	DDX
DEAH-box helicases	DHX
Defensins	
Defensins, alpha	DEFA
Defensins, beta	DEFB
DENN domain containing	DENND
Dishevelled segment polarity proteins	DVL
Basic leucine zipper proteins	
Forkhead boxes	FOX
High mobility group	HMG
Canonical high mobility group	
Non-canonical high mobility group	
Homeoboxes	
ANTP class homeoboxes	
HOXL subclass homeoboxes	
NKL subclass homeoboxes and pseudogenes	
PRD class homeoboxes and pseudogenes	
LIM class homeoboxes	
POU class homeoboxes and pseudogenes	POU
HNF class homeoboxes	
SINE class homeoboxes	SIX
TALE class homeoboxes and pseudogenes	
CUT class homeoboxes and pseudogenes	
PROS class homeoboxes	PROX
ZF class homeoboxes and pseudogenes	
CERS class homeoboxes	CERS
Myb/SANT domain containing	
Helix-turn-helix CENPB type domain containing	
ETS transcription factor family	
DNA polymerases	POL
Dyneins, axonemal	DNA
Dyneins	
Dyneins, cytoplasmic	DYN
Elongator acetyltransferase complex 	ELP
EMI domain containing	
Receptor ligands	
Engulfment and cell motility proteins	ELMO
Exonucleases	
Ephrins	EFN
Exportins	XPO
FA complementation groups	FANC
Fatty acid binding protein family	FABP
Fatty acid hydroxylase domain containing	
Fatty acid desaturases	FADS
Fibrinogen C domain containing	
Fibronectin type III domain containing	
Fibulins	FBLN
F-boxes	FBX
F-box and leucine rich repeat proteins	FBXL
F-box and WD repeat domain containing	FBXW
F-boxes other	FBXO
Fermitins	FERMT
Gamma-aminobutyric acid (GABA) receptors	
Gamma-aminobutyric acid type A receptor subunits	GABR
Gamma-glutamyltransferases	GGT
General transcription factors	GTF
Soluble glutathione S-transferases	GST
Glycerol kinases	GK
Proteoglycans	
Syndecans	SDC
Glypicans	GPC
Small leucine rich repeat proteoglycans	
Hyalectan proteoglycans	
Collagen proteoglycans	
GPN-loop GTPases	GPN
G-patch domain containing	GPATCH
GTPases, IMAP	GIMAP
HAUS augmin like complex 	HAUS
Heat shock proteins	
Heat shock 70kDa proteins	HSPA
DNAJ (HSP40) heat shock proteins	DNAJ
Small heat shock proteins	HSPB
Heat shock 90kDa proteins	HSP90
Chaperonins	
Histocompatibility complex	HLA
Immunoglobulin superfamily domain containing	
V-set domain containing	
C1-set domain containing	
C2-set domain containing	
I-set domain containing	
Immunoglobulin like domain containing	
INO80 complex 	INO80
Importins	IPO
Integrins	ITG
Interferons	IFN
Interferon receptors	
Interleukins	IL
Interleukin receptors	
Intermediate filaments	
Keratins, type I	
Keratins, type II	
Intermediate filaments Type III	
Intermediate filaments Type IV	
Lamins	LMN
Beaded filament structural proteins	BFSP
Intermediate filament family orphans	IFFO
Intraflagellar transport complexes	
Kallikreins	KLK
Kelch like	KLHL
Keratin associated proteins	KRTAP
Killer cell immunoglobulin like receptors	KIR
Killer cell lectin like receptors	KLR
Kinesins	KIF
KN motif and ankyrin repeat domain containing	KANK
Kruppel like factors	KLF
La ribonucleoproteins	LARP
Laminin subunits	LAM
Late cornified envelope proteins	LCE
Latent transforming growth factor beta binding proteins	LTBP
Galectins	LGALS
Leukocyte immunoglobulin like receptors	LILR
Lipocalins	LCN
Calycin structural superfamily	
Low density lipoprotein receptors	LRP
LYR motif containing	LYRM
Maestro heat like repeat containing 	MROH
MAX dimerization proteins	MXD
Metallothioneins	MT
Mitochondrial respiratory chain complexes	
Mitochondrial complex I: NADH:ubiquinone oxidoreductase subunits	
Mitochondrial complex II: succinate dehydrogenase subunits	SDH
Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	UQCR
Mitochondrial complex IV: cytochrome c oxidase subunits	COX, MT-CO
Mitochondrial complex V: ATP synthase subunits	ATP5, MT-ATP
Mitochondrial respiratory chain complex assembly factors	
Mitochondrial ribosomal proteins	
MOB kinase activators	MOB
Mucins	MUC
Myocyte enhancer factor 2 proteins	MEF2
Mitogen-activated protein kinases	MAPK
Mitogen-activated protein kinase cascade	
Mitogen-activated protein kinase kinases	MAP2K
Mitogen-activated protein kinase kinase kinases	MAP3K
Mitogen-activated protein kinase kinase kinase kinases	MAP4K
Myosin heavy chains	
Myosin light chains	MYL
Myosin binding proteins	MYBP
Na+/K+ transporting ATPase interacting	NKAIN
N-alpha-acetyltransferase subunits	NAA
Netrins	NTN
NBPF members	NBPF
N-terminal EF-hand calcium binding proteins	NECAB
NOP2/Sun RNA methyltransferase family	NSUN
Nuclear factors of activated T-cells 	NFAT
NLR family	NLR
Nudix hydrolase family	NUDT
ORAI calcium release-activated calcium modulators	ORAI
OTU domain containing	OTU
Oxysterol binding proteins	OSBP
Paraneoplastic Ma antigens	PNMA
Parvins	PARV
PATE family	PATE
Paired boxes	PAX
Pellino E3 ubiquitin protein ligases	PELI
Peptidyl arginine deiminases	PADI
Perilipins	PLIN
Phosphatase and actin regulators	PHACTR
Phosphatidylinositol glycan anchor biosynthesis	PIG
Phosphodiesterases	PDE
Pleckstrin homology domain containing	PLEKH
Plexins	PLXN
Poly(ADP-ribose) polymerases	PARP
POTE ankyrin domain containing	POTE
PRAME family	PRAMEF
Prenyltransferase alpha subunit repeat containing	PTAR
Proteasome	PSM
Protein disulfide isomerases	PDI
Protein phosphatase catalytic subunits	PPP
Protein phosphatase 1 regulatory subunits	PPP1R
Protein phosphatase 2 regulatory subunits	PPP2R
Protein phosphatase 3 regulatory subunits	PPP3R
Protein phosphatase 4 regulatory subunits	PPP4R
Protein phosphatase 6 regulatory subunits	PPP6R
Protein phosphatases, Mg2+/Mn2+ dependent	PPM
HAD Asp-based protein phosphatases	
Protein phosphatases	
Class I classical Cys-based phosphatases	
Dual specificity phosphatases	DUSP
Class II Cys-based phosphatases	
Class III Cys-based CDC25 phosphatases	CDC25
Pseudoautosomal regions	
Pseudoautosomal region 1	PAR1
Pseudoautosomal region 2	PAR2
Receptor accessory proteins	REEP
Receptor (G protein-coupled) activity modifying proteins	RAMP
Receptor transporter proteins	RTP
Regulators of G-protein signaling	RGS
Rho GTPase activating proteins	ARHGAP
Dbl family Rho GEFs	ARHGEF
Ribonuclease A family	RNASE
RNA binding motif containing	RBM
RNA polymerase subunits	POLR
RNA pseudouridylate synthase domain containing	RPUSD
S ribosomal proteins	RPS
L ribosomal proteins	RPL
SAM and SH3 domain containing	SASH
Septins	SEPTIN
Secreted frizzled-related proteins	SFRP
Secretoglobins	SCGB
Secretory carrier membrane proteins	SCAMP
Semaphorins	SEMA
Serine and arginine rich splicing factors	SRSF
Serine proteases	PRSS
Serpin peptidase inhibitors	SERPIN
Serine peptidase inhibitors, Kazal type	SPINK
SH2 domain containing	
Shisa family members	SHISA
Short chain dehydrogenase/reductase superfamily	SDR
Sialic acid binding Ig like lectins	SIGLECs
Sideroflexin family	SFXN
Signal regulatory proteins	SIRP
SKI transcriptional corepressors	
SMAD family	SMAD
Small G protein signaling modulators	SGSM
Solute carriers	SLC
Sorting nexins	SNX
Sp transcription factors	SP
Speedy/RINGO cell cycle regulator family	SPDY
SRY-box transcription factors	SOX
StAR related lipid transfer domain containing	STARD
Sterile alpha motif domain containing	SAMD
Structural maintenance of chromosomes proteins	SMC
Sulfotransferases, cytosolic	SULT
Sulfotransferases, membrane bound	
Suppressors of cytokine signaling	SOCS
Synaptotagmins	SYT
T-box transcription factors	TBX
Tectonic proteins	TCTN
Tetraspanins	TSPAN
Tetratricopeptide repeat domain containing	TTC
THO complex	THOC
Trafficking protein particle complex subunits	TRAPPC
Transglutaminases	TGM
Transmembrane and coiled-coil domain containing	TMCC
tRNA-splicing endonuclease subunits	TSEN
Tropomyosins	TPM
Tubulins	TUB
Tubulin tyrosine ligase family	TTL
Tudor domain containing	TDRD
Tumor necrosis factor superfamily	TNFSF
Tumor necrosis factor receptor superfamily	TNFRSF
Ubiquilin family	UBQLN
Ubiquitin protein ligase E3 component n-recognins	UBR
Long non-coding RNAs	
Adhesion G protein-coupled receptors	ADGR
ATP binding cassette subfamily A	ABCA
ATP binding cassette subfamily B	ABCB
ATP binding cassette subfamily C	ABCC
ATP binding cassette subfamily D	ABCD
ATP binding cassette subfamily E	ABCE
ATP binding cassette subfamily F	ABCF
ATP binding cassette subfamily G	ABCG
Protein tyrosine phosphatases non-receptor type	PTPN
Protein tyrosine phosphatases receptor type	PTPR
Serine/threonine phosphatases	
Chitinases	CHI
Exosome complex	EXOSC
Syntaxins	STX
Guanylate cyclases	GUCY
Soluble guanylate cyclases	GUCY1
Sulfotransferases	
Synaptotagmin like tandem C2 proteins	
C2 domain containing	
Multiple C2 and transmembrane domain containing	MCTP
Extended synaptotagmins	ESYT
Ferlin family	FER1L
Copines	CPNE
C2 and RasGAP domain containing	
Phosphatidylinositol 3-kinase subunits	PIK3C
C2 domain containing phospholipases	
Regulating synaptic membrane exocytosis family	RIMS
C2 domain containing protein kinases	
UNC13 homologs	UNC13
C2 tensin-type domain containing	
C2 and WW domain containing	
Nuclear-encoded mitochondrial transfer RNAs	NMTR
Cytoplasmic transfer RNAs	TR
Mitochondrially encoded transfer RNAs	MT-T
Small nucleolar RNAs	
Small nucleolar RNAs, C/D box	SNORD
Small nucleolar RNAs, H/ACA box	SNORA
Small Cajal body-specific RNAs	SCARNA
Ribosomal RNAs	
Small nuclear RNAs	
Piwi-interacting RNA clusters	PIRC
Vault RNAs	VTRNA
RNAs, Ro60-associated Y	RNY
Potassium sodium-activated channel subfamily T 	KCNT
Potassium calcium-activated channel subfamily M regulatory beta subunits	KCNMB
Potassium voltage-gated channel regulatory subunits	
BTB domain containing	BTBD
Cytochrome P450s	CYP
EF-hand domain containing	
Histones	
Anoctamins	ANO
Bestrophins	BEST
Chloride channel accessory	CLCA
Glycine receptors	GLRA, GLRB
Minor histocompatibility antigens	
Homer scaffold proteins 	HOMER
Immunoglobulin heavy	IGH
Immunoglobulin kappa	IGK
Immunoglobulin lambda	IGL
T cell receptor beta	TRB
Selenoproteins	SELENO
M10 matrix metallopeptidases	MMP
Tissue inhibitor of metallopeptidases	TIMP
Astacins	
MAP kinase phosphatases	
Atypical dual specificity phosphatases	
Pappalysins	PAPPA
Slingshot protein phosphatases	SSH
Protein tyrosine phosphatase 4A family	PTP4A
CDC14 phosphatases	
Metzincin metallopeptidases	
PTEN protein phosphatases	
Myotubularins	MTM
Membrane associated guanylate kinases	
Angiopoietin like family	ANGPTL
CEA cell adhesion molecule family	CEACAM
CTAGE family	CTAGE
Transferrins	
Cyclophilin peptidylprolyl isomerases	PPI
FKBP prolyl isomerases	FKBP
Adhesion G protein-coupled receptors, subfamily A	ADGRA
Adhesion G protein-coupled receptors, subfamily B	ADGRB
Adhesion G protein-coupled receptors, subfamily C	ADGRC
Adhesion G protein-coupled receptors, subfamily D	ADGRD
Adhesion G protein-coupled receptors, subfamily E	ADGRE
Adhesion G protein-coupled receptors, subfamily F	ADGRF
Adhesion G protein-coupled receptors, subfamily G	ADGRG
Adhesion G protein-coupled receptors, subfamily L	ADGRL
Adhesion G protein-coupled receptors, subfamily V	ADGRV
Parvulins	PIN
Immunophilins	
Peptidylprolyl isomerases	
Granins	SCG
Rhomboid family	RHB
VPS9 domain containing	
Actins	ACT
Progestin and adipoQ receptor family	PAQR
GINS complex	GINS
COP9 signalosome 	COPS
G protein-coupled bile acid receptor	GPBAR
G protein-coupled estrogen receptor	GPER
Oxoglutarate receptor	OXGR
Succinate receptor	SUCNR
Histone deacetylase superfamily	HDAC, SIRT
Sirtuins	SIRT
Plakins	
Hemoglobin subunits	HB
Dynactin subunits	DCTN
Selectins	SEL
ENAH/VASPs	
ADAMTS like	ADAMTSL
Toll like receptors	TLR
Tektins	TEKT
Gelsolin/villins	
Erythrocyte membrane protein band 4.1	EPB41
SNAP complex 	SNAPC
Peroxiredoxins	PRDX
Phospholipid scramblases	PLSCR
XK related family	XKR
Prefoldin subunits	PFDN
Peroxins	PEX
Membrane spanning 4-domains	MS4
Caspase recruitment domain containing	CARD
Origin recognition complex 	ORC
NME/NM23 family	NME
Cystatin superfamily	
Cystatins, type 2	CST
Cystatins, type 1	CST
Cystatins, type 3	
Cystatins, type 4	
Histatins and statherin	HTN
Proline rich proteins 	PRB, PRH
Proprotein convertase subtilisin/kexin family	PCSK
Acyl-CoA dehydrogenase family	ACAD
Calpains	CAPN
Chromobox family	CBX
CKLF like MARVEL transmembrane domain containing	CMTM
COMM domain containing	COMMD
Dynein regulatory complex	DRC
E2F transcription factors	E2F
Desumoylases	
SUMO specific peptidases	SENP
Desumoylating isopeptidases	DESI
Transcription factor Dp family	TFDP
Ubiquitin specific peptidase like 	USPL
Histone deacetylases, class I	HDAC
Histone deacetylases, class II	HDAC
Histone deacetylases, class IV	HDAC
Histone deacetylases, class IIA	HDAC
Histone deacetylases, class IIB	HDAC
Pyrin domain containing	
Pyrin and HIN domain family	PYHIN
Deubiquinating enzymes	
MJD deubiquinating enzymes	
Ubiquitin C-terminal hydrolases	UCHL
JAMM/MPN+ metallopeptidase family	
Cytochrome P450 family 1	CYP1
Cytochrome P450 family 2	CYP2
Cytochrome P450 family 3	CYP3
Cytochrome P450 family 4	CYP4
Cytochrome P450 family 5	CYP5
Cytochrome P450 family 7	CYP7
Cytochrome P450 family 8	CYP8
Cytochrome P450 family 11	CYP11
Cytochrome P450 family 17	CYP17
Cytochrome P450 family 19	CYP19
Cytochrome P450 family 20	CYP20
Cytochrome P450 family 21	CYP21
Cytochrome P450 family 24	CYP24
Cytochrome P450 family 26	CYP26
Cytochrome P450 family 27	CYP27
Cytochrome P450 family 39	CYP39
Cytochrome P450 family 46	CYP46
Cytochrome P450 family 51	CYP51
Death effector domain containing	
Death associated protein kinases	DAPK
Autophagy related	ATG
CCR4-NOT transcription complex	CNOT
DNA glycosylases	
Methyl-CpG binding domain containing	MBD
MutS homologs	MSH
MutL homologs	MLH
Cytosolic iron-sulfur assembly components	
Paf1/RNA polymerase II complex 	
Golgi associated, gamma adaptin ear containing, ARF binding proteins	GGA
Cullins	CUL
SCY1 like pseudokinases	SCYL
SMC5-6 protein complex	
Glycerol-3-phosphate acyltransferases	GPAT
Membrane bound O-acyltransferase family	MBOAT
Biogenesis of lysosomal organelles complex 2 	BLOC2S
Biogenesis of lysosomal organelles complex 3 	BLOC3S
Ragulator complex 	LAMTOR
CTD family phosphatases	
5'-nucleotidases	NT5
Lipins	LPIN
EYA transcriptional coactivator and phosphatases	EYA
HAD Asp-based non-protein phosphatases	
Cellular communication network factors	
BLOC-1 related complex subunits	BORCS
RecQ like helicases	RECQL
Topoisomerases	TOP
Nucleoporins	NUP
IgLON cell adhesion molecules	IGLON
14-3-3 phospho-serine/phospho-threonine binding proteins	YWHA
Ribosomal proteins	
Exocyst complex	EXOC
TNF receptor associated factors	TRAF
BCL2 family	BCL2
ATAC complex	ATAC
SAGA complex	
Cohesin complex	
Mediator complex	MED
GOLD domain containing	
SEC14 family	SEC14
Transmembrane p24 trafficking proteins	TMED
Insulin like growth factor binding proteins	IGFBP
Lipid phosphatases	
Phospholipid phosphatases	PLPP
Sphingosine-1-phosphate phosphatases	SGPP
Acid phosphatases	ACP
Alkaline phosphatases	ALP
Sugar phosphatases	
Glucose 6-phosphatases, catalytic	G6PC
Fructose-1,6-bisphosphatases	FBP
Phosphatases	
6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	PFKFB
Phosphoglycerate mutases	PGAM
Phosphoinositide phosphatases	
